TrackedTotal,Untagged,UObject,CriWare,EngineMisc,Audio,Audio/AudioMixer,EngineMisc/FMsgLogf,Audio/Wwise,Audio/Wwise/Wwise Resource Loader
354.27,6.17,103.0,135.5,4.07,53.72,9.49,0.1,42.12,0.1
354.42,6.2,103.1,135.5,4.12,53.68,9.45,0.14,42.12,0.1
354.42,6.31,103.0,135.5,4.12,53.69,9.45,0.13,42.12,0.1
354.16,6.0,102.95,135.5,4.2,53.69,9.47,0.12,42.12,0.1
354.32,6.08,103.06,135.5,4.07,53.74,9.5,0.15,42.12,0.1
354.42,6.25,103.03,135.5,4.15,53.64,9.54,0.09,42.12,0.1
354.34,6.19,103.04,135.5,4.16,53.66,9.43,0.14,42.12,0.1
354.5,6.3,103.06,135.5,4.14,53.64,9.48,0.16,42.12,0.1
354.04,6.03,102.97,135.5,4.05,53.67,9.44,0.16,42.12,0.1
354.47,6.27,103.0,135.5,4.17,53.68,9.5,0.14,42.12,0.1
354.48,6.38,102.99,135.5,4.16,53.65,9.44,0.13,42.12,0.1
354.33,6.29,102.94,135.5,4.13,53.68,9.45,0.12,42.12,0.1
354.28,6.24,102.99,135.5,4.11,53.64,9.45,0.13,42.12,0.1
354.39,6.21,103.07,135.5,4.11,53.67,9.47,0.14,42.12,0.1
354.27,6.1,103.01,135.5,4.1,53.74,9.48,0.12,42.12,0.1
354.35,6.21,102.94,135.5,4.14,53.71,9.49,0.15,42.12,0.1
354.52,6.41,102.93,135.5,4.1,53.71,9.47,0.18,42.12,0.1
354.31,6.21,103.09,135.5,4.06,53.67,9.43,0.13,42.12,0.1
354.12,6.09,103.0,135.5,4.05,53.66,9.49,0.11,42.12,0.1
354.16,6.15,102.97,135.5,4.07,53.67,9.47,0.11,42.12,0.1
354.44,6.26,102.99,135.5,4.12,53.7,9.51,0.15,42.12,0.1
354.24,6.18,102.93,135.5,4.1,53.73,9.45,0.13,42.12,0.1
354.52,6.31,103.08,135.5,4.12,53.73,9.42,0.15,42.12,0.1
354.47,6.31,102.98,135.5,4.13,53.72,9.47,0.13,42.12,0.1
354.58,6.37,103.07,135.5,4.07,53.68,9.51,0.15,42.12,0.1
354.67,6.45,103.01,135.5,4.18,53.7,9.48,0.13,42.12,0.1
354.56,6.39,103.08,135.5,4.09,53.69,9.47,0.12,42.12,0.1
354.19,6.1,103.02,135.5,4.08,53.7,9.45,0.13,42.12,0.1
